                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.1322,                0.47986,                0.67982,                 1.2926,                0.99115,                0.88235,                0.98342,                0.65953,                0.99115,                0.88235,                0.98342,                0.61556,                 1.1486,                0.25176,                 1.3567,                 1.4316,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.1542,                0.46659,                0.71727,                   1.32,                      1,                0.93634,                  0.995,                0.65163,                      1,                0.93634,                  0.995,                0.62964,                 1.1548,                0.25528,                 0.9051,                 1.4426,              0.0004754,              0.0004754,              0.0004754
                     80,                  1.096,                0.54383,                0.69002,                 1.3298,                0.98493,                      1,                  0.995,                  0.676,                0.98493,                      1,                  0.995,                0.64989,                 1.1472,                0.26205,                0.72539,                 1.4605,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.1196,                0.59176,                0.65572,                 1.2855,                0.98728,                      1,                  0.995,                0.67122,                0.98728,                      1,                  0.995,                0.66647,                 1.1406,                0.26759,                 0.7162,                 1.4875,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.1628,                0.44316,                0.69669,                 1.3442,                0.98853,                      1,                  0.995,                0.67649,                0.98853,                      1,                  0.995,                0.63347,                  1.166,                0.27415,                0.71838,                 1.5165,               0.000416,               0.000416,               0.000416
                     83,                 1.0957,                0.56329,                0.68243,                 1.2981,                0.98935,                      1,                  0.995,                0.67758,                0.98935,                      1,                  0.995,                0.64523,                 1.1637,                0.27924,                0.76486,                 1.5106,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.0695,                0.46018,                0.63663,                 1.2693,                 0.9462,                      1,                  0.995,                0.67682,                 0.9462,                      1,                  0.995,                0.65218,                 1.1922,                0.28141,                 0.8852,                 1.5198,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.0968,                0.52047,                0.65973,                 1.2324,                0.97594,                      1,                  0.995,                0.67784,                0.97594,                      1,                  0.995,                0.65701,                 1.1893,                0.27519,                0.82148,                 1.5181,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.0926,                0.45629,                0.61545,                 1.2831,                0.98139,                      1,                  0.995,                 0.6765,                0.98139,                      1,                  0.995,                0.67753,                 1.1872,                0.27057,                0.73301,                 1.5169,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.1047,                0.46891,                0.63749,                 1.2773,                0.99027,                      1,                  0.995,                0.70081,                0.99027,                      1,                  0.995,                 0.6814,                 1.1825,                0.26597,                0.66673,                 1.5019,               0.000317,               0.000317,               0.000317
                     88,                 1.1186,                0.45936,                0.65244,                 1.3213,                0.98322,                      1,                  0.995,                0.69946,                0.98322,                      1,                  0.995,                0.68558,                 1.1531,                0.26004,                0.58411,                 1.4605,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.0736,                0.48738,                0.63588,                 1.3042,                0.98015,                      1,                  0.995,                0.70896,                0.98015,                      1,                  0.995,                0.69858,                 1.1461,                0.25858,                0.57047,                 1.4451,              0.0002774,              0.0002774,              0.0002774
