                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                0.80991,                0.48978,                0.53339,                  1.123,                 0.9402,                0.93031,                0.95427,                0.60418,                0.91892,                0.91054,                0.93022,                0.57065,                 1.4327,                 1.6491,                0.61488,                 2.0793,             0.00039238,             0.00039238,             0.00039238
                     94,                 0.7882,                0.42366,                0.52172,                 1.1506,                0.92847,                 0.9042,                0.94815,                0.58174,                0.90873,                 0.8842,                0.93135,                0.55141,                 1.4466,                 1.0288,                0.63334,                 1.9692,             0.00038884,             0.00038884,             0.00038884
                     95,                0.79406,                0.48094,                0.53379,                 1.1321,                0.93498,                0.93111,                0.94781,                0.58974,                0.92494,                0.92124,                0.93961,                0.56004,                  1.425,                0.74516,                0.67604,                 1.9604,             0.00038531,             0.00038531,             0.00038531
                     96,                 0.8157,                 0.5466,                0.56005,                 1.1217,                0.94961,                0.92084,                0.95732,                0.61732,                0.94873,                0.89933,                0.94354,                0.58179,                 1.3804,                 1.2219,                0.62759,                 1.9259,             0.00038178,             0.00038178,             0.00038178
                     97,                0.74893,                0.47389,                0.50797,                 1.1276,                 0.9717,                0.90899,                0.95601,                0.60152,                0.96098,                0.89899,                0.93871,                 0.5637,                 1.3591,                0.60664,                0.68065,                 1.9134,             0.00037824,             0.00037824,             0.00037824
                     98,                0.72467,                 0.4304,                 0.4824,                 1.0939,                0.96512,                0.92417,                0.95797,                0.61605,                0.95307,                0.91417,                0.93984,                0.58107,                 1.3794,                0.87015,                0.63605,                 1.9483,             0.00037471,             0.00037471,             0.00037471
                     99,                0.74874,                0.46726,                0.50119,                 1.0914,                0.97495,                0.90829,                0.95171,                0.60213,                0.96318,                0.89829,                0.93321,                0.56829,                 1.4121,                0.76442,                 0.6522,                 1.9908,             0.00037117,             0.00037117,             0.00037117
                    100,                 0.7631,                0.47451,                0.50754,                 1.1094,                0.92011,                 0.9346,                0.95306,                0.60934,                0.90922,                 0.9246,                0.93014,                0.54799,                 1.3773,                0.65072,                0.66237,                 1.9342,             0.00036764,             0.00036764,             0.00036764
                    101,                0.74805,                0.51384,                0.49288,                 1.0791,                0.97118,                0.92177,                0.95786,                0.59918,                0.96039,                0.91177,                0.93961,                0.54453,                 1.4695,                  0.699,                0.70315,                 2.0013,              0.0003641,              0.0003641,              0.0003641
                    102,                0.73897,                0.45534,                0.50761,                 1.0724,                0.90017,                0.91229,                0.93346,                0.57658,                 0.9114,                0.91896,                0.94209,                0.55767,                 1.4972,                0.80451,                0.70736,                  2.069,             0.00036057,             0.00036057,             0.00036057
                    103,                0.73902,                0.43536,                0.47336,                 1.1086,                0.93027,                0.92318,                0.95556,                0.57856,                0.89616,                0.89812,                0.91258,                0.55427,                 1.4699,                 1.1763,                0.65469,                 2.0228,             0.00035704,             0.00035704,             0.00035704
                    104,                0.77113,                0.52561,                0.48707,                 1.1116,                0.93576,                0.92375,                0.94482,                 0.5954,                0.92512,                0.91431,                0.92948,                0.54514,                 1.4311,                0.66767,                0.72115,                 1.9713,              0.0003535,              0.0003535,              0.0003535
