Episode,Reward,Penalties,State,Hashed_State,value
60,-5,24,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",13,-7.1590257586062505
60,6,24,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 11, ""open_monitor"": 1, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,10.293634238670556
60,-5,25,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 3, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",0,0.4347428734186116
60,6,25,"{""en_peligro"": 1, ""flashlight"": 0, ""foxy_en_pasillo"": 1, ""hallway"": 0, ""last_action"": 2, ""left_vent"": 0, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 1, ""right_vent"": 1}",2,11.062876089743662
60,6,25,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 1, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",16,0.9639311697101682
60,6,25,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",18,2.1079590056940956
60,6,25,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,10.481888869123734
60,6,25,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,10.662613314358786
60,6,25,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,10.836108781784436
60,6,25,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,11.002664430513057
60,6,25,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,11.162557853292535
60,-5,26,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,10.216055539160834
60,-5,27,"{""en_peligro"": 0, ""flashlight"": 1, ""foxy_en_pasillo"": 0, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,9.307413317594401
60,3,27,"{""en_peligro"": 0, ""flashlight"": 1, ""foxy_en_pasillo"": 0, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",35,1.3328480670393215
60,3,27,"{""en_peligro"": 0, ""flashlight"": 1, ""foxy_en_pasillo"": 0, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 11, ""open_monitor"": 1, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",35,1.5795341443577486
60,3,27,"{""en_peligro"": 0, ""flashlight"": 1, ""foxy_en_pasillo"": 0, ""hallway"": 1, ""last_action"": 3, ""left_vent"": 1, ""num_camera"": 11, ""open_monitor"": 1, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",30,5.9391143403648945
60,3,27,"{""en_peligro"": 0, ""flashlight"": 1, ""foxy_en_pasillo"": 0, ""hallway"": 1, ""last_action"": 3, ""left_vent"": 1, ""num_camera"": 11, ""open_monitor"": 1, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",13,-6.5726647282620005
60,3,27,"{""en_peligro"": 0, ""flashlight"": 1, ""foxy_en_pasillo"": 0, ""hallway"": 1, ""last_action"": 3, ""left_vent"": 1, ""num_camera"": 11, ""open_monitor"": 1, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",13,-6.00975813913152
60,-10,27,"{""en_peligro"": 0, ""flashlight"": 1, ""foxy_en_pasillo"": 0, ""hallway"": 1, ""last_action"": 3, ""left_vent"": 1, ""num_camera"": 11, ""open_monitor"": 1, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",13,-6.76936781356626
60,-10,27,"{""en_peligro"": 0, ""flashlight"": 1, ""foxy_en_pasillo"": 0, ""hallway"": 1, ""last_action"": 3, ""left_vent"": 1, ""num_camera"": 11, ""open_monitor"": 1, ""puppet_sin_tiempo"": 1, ""put_mask"": 0, ""right_vent"": 1}",13,-10.166158819345185
60,-10,27,"{""en_peligro"": 0, ""flashlight"": 1, ""foxy_en_pasillo"": 0, ""hallway"": 1, ""last_action"": 3, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 1, ""put_mask"": 0, ""right_vent"": 1}",38,-11.228236169633572
60,3,27,"{""en_peligro"": 0, ""flashlight"": 1, ""foxy_en_pasillo"": 0, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 1, ""put_mask"": 0, ""right_vent"": 1}",7,-7.17157340197147
