                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.94026,                0.63327,                0.68807,                 1.2474,                 0.9259,                0.82125,                0.87725,                0.59438,                 0.9259,                0.82125,                 0.8855,                0.58386,                 1.5877,                0.52911,                0.68983,                 1.9118,             0.00041045,             0.00041045,             0.00041045
                     64,                0.90366,                0.59441,                 0.6555,                 1.2136,                0.90203,                0.82771,                0.89844,                 0.5823,                 0.9005,                0.81626,                0.88711,                0.59736,                 1.5711,                0.48424,                0.69844,                 1.8891,             0.00040754,             0.00040754,             0.00040754
                     65,                0.93371,                0.57288,                0.67356,                  1.232,                0.89393,                0.77594,                0.90423,                  0.589,                0.89393,                0.77594,                0.90423,                0.58709,                 1.6489,                0.50263,                0.73415,                 1.9589,             0.00040463,             0.00040463,             0.00040463
                     66,                 0.9543,                0.59974,                0.71889,                 1.2467,                0.89736,                0.84673,                0.90603,                0.60132,                0.89736,                0.84673,                0.90603,                0.61851,                 1.5949,                 0.4635,                0.69363,                 1.9011,             0.00040172,             0.00040172,             0.00040172
                     67,                0.92881,                0.61736,                 0.6821,                 1.1876,                0.94529,                0.86883,                0.90392,                0.61336,                0.94529,                0.86883,                0.90392,                0.62877,                 1.5951,                0.46835,                0.68777,                 1.9442,             0.00039881,             0.00039881,             0.00039881
                     68,                0.91502,                0.59182,                0.67457,                 1.1912,                0.90854,                0.83321,                0.89188,                0.60785,                0.90854,                0.83321,                0.89188,                0.61257,                 1.5095,                0.43324,                0.70359,                 1.7984,              0.0003959,              0.0003959,              0.0003959
                     69,                0.91052,                0.67823,                0.63918,                 1.1648,                0.90922,                0.84478,                0.89816,                0.61372,                0.90922,                0.84478,                0.89816,                0.62006,                 1.4882,                0.50714,                0.68172,                 1.8735,             0.00039299,             0.00039299,             0.00039299
                     70,                0.88809,                0.66938,                0.64803,                 1.1884,                0.90545,                 0.8199,                0.89323,                0.59875,                0.90545,                 0.8199,                0.89323,                0.60873,                 1.5491,                0.45109,                0.68613,                 2.0221,             0.00039008,             0.00039008,             0.00039008
                     71,                0.88612,                0.65045,                0.65799,                 1.1768,                0.89542,                0.83017,                0.89012,                0.59252,                0.89542,                0.83017,                0.89012,                0.59911,                 1.5733,                0.48766,                0.64642,                 2.0075,             0.00038717,             0.00038717,             0.00038717
                     72,                0.88393,                0.59211,                0.62149,                  1.149,                0.93499,                0.81756,                0.89821,                0.59527,                0.93499,                0.81756,                0.89821,                0.60112,                 1.5724,                0.50984,                0.74169,                 1.8662,             0.00038426,             0.00038426,             0.00038426
                     73,                0.90352,                0.62098,                0.63883,                 1.1828,                0.93343,                0.82916,                0.89358,                0.59434,                0.93343,                0.82916,                0.89358,                0.59117,                 1.5707,                0.49769,                0.73433,                 1.8423,             0.00038135,             0.00038135,             0.00038135
                     74,                0.88065,                0.49358,                0.60135,                 1.1686,                0.94961,                0.83332,                0.89544,                0.62096,                0.94961,                0.83332,                0.89544,                  0.618,                 1.5428,                0.45757,                0.67363,                 1.8181,             0.00037844,             0.00037844,             0.00037844
                     75,                0.90238,                0.63595,                  0.678,                 1.1839,                0.90235,                0.85551,                0.90607,                0.61449,                0.90235,                0.85551,                0.90607,                0.62629,                 1.5424,                 0.4573,                0.63675,                 1.8616,             0.00037553,             0.00037553,             0.00037553
                     76,                0.83251,                0.58022,                0.60433,                 1.1463,                0.86376,                0.80938,                0.88514,                0.59432,                0.86376,                0.80938,                0.88514,                0.59233,                 1.5648,                 0.5503,                0.70047,                 1.8529,             0.00037262,             0.00037262,             0.00037262
                     77,                0.83268,                 0.5833,                0.57234,                 1.1377,                0.84848,                0.82925,                0.89036,                 0.5934,                0.84848,                0.82925,                0.88951,                0.59281,                 1.5382,                0.53663,                0.67341,                 1.9311,             0.00036971,             0.00036971,             0.00036971
                     78,                0.84252,                 0.5796,                0.59069,                 1.1437,                0.90506,                0.81764,                0.87914,                0.59573,                0.90506,                0.81764,                0.87914,                0.59798,                 1.5343,                0.49601,                0.73026,                 1.9241,             0.00036679,             0.00036679,             0.00036679
                     79,                0.79468,                  0.522,                0.58904,                 1.1432,                 0.9273,                0.80882,                0.88088,                0.60003,                 0.9273,                0.80882,                0.88088,                0.60467,                 1.5653,                0.51057,                0.76212,                 1.9671,             0.00036388,             0.00036388,             0.00036388
                     80,                0.82815,                0.61368,                0.62802,                 1.1549,                0.82211,                0.85274,                  0.843,                0.54911,                0.82211,                0.85274,                 0.8391,                0.54457,                 1.5787,                0.59931,                0.74755,                 1.9775,             0.00036097,             0.00036097,             0.00036097
                     81,                0.82256,                0.57386,                0.61963,                 1.1389,                0.94314,                0.78154,                0.84327,                0.56077,                0.94314,                0.78154,                0.84327,                0.58983,                 1.6018,                0.56188,                0.80899,                 2.0038,             0.00035806,             0.00035806,             0.00035806
                     82,                0.86946,                0.60442,                0.61406,                 1.1674,                0.94515,                0.79546,                 0.8996,                0.60563,                0.94515,                0.79546,                 0.8996,                  0.627,                 1.5182,                0.45519,                0.66823,                 1.9157,             0.00035515,             0.00035515,             0.00035515
                     83,                 0.8053,                0.56404,                0.58949,                 1.1446,                0.89879,                0.83475,                0.90381,                0.60981,                0.89879,                0.83475,                0.90381,                 0.6325,                 1.4832,                0.43333,                0.63493,                 1.8379,             0.00035224,             0.00035224,             0.00035224
                     84,                0.79031,                0.62646,                0.57967,                 1.1247,                0.86011,                0.83089,                0.88357,                0.58883,                0.86011,                0.83089,                0.88357,                0.61091,                 1.4811,                0.50571,                0.63059,                 1.8082,             0.00034933,             0.00034933,             0.00034933
                     85,                 0.8152,                0.65563,                0.57265,                 1.1212,                0.76958,                0.84852,                0.87518,                0.57496,                0.76958,                0.84852,                   0.87,                0.59249,                 1.5736,                0.51322,                 0.6636,                 1.8803,             0.00034642,             0.00034642,             0.00034642
                     86,                0.80187,                 0.5727,                0.58364,                 1.1309,                 0.7926,                0.85937,                  0.895,                0.60519,                 0.7926,                0.85937,                0.88856,                0.60035,                 1.5585,                0.47739,                0.65424,                 1.9018,             0.00034351,             0.00034351,             0.00034351
                     87,                 0.8292,                0.66065,                0.59445,                 1.1329,                 0.9353,                0.85396,                0.89029,                0.61515,                 0.9353,                0.85396,                0.88647,                0.62204,                 1.5382,                0.49061,                0.66064,                 1.8744,              0.0003406,              0.0003406,              0.0003406
                     88,                0.82011,                0.68721,                0.58095,                 1.1516,                0.87971,                0.86692,                0.88865,                 0.6156,                0.87971,                0.86692,                0.88965,                0.62871,                 1.5827,                0.52972,                0.68881,                 1.8998,             0.00033769,             0.00033769,             0.00033769
                     89,                0.81923,                0.62064,                0.58499,                 1.1431,                0.91046,                0.80962,                0.88788,                0.60576,                0.91046,                0.80962,                0.88583,                0.60812,                  1.514,                0.54563,                0.63416,                 1.8469,             0.00033478,             0.00033478,             0.00033478
                     90,                0.78212,                0.49487,                0.56179,                 1.1178,                 0.7638,                0.86865,                0.85225,                0.56515,                 0.7638,                0.86865,                0.84952,                 0.5667,                 1.5184,                0.54505,                0.64581,                  1.836,             0.00033187,             0.00033187,             0.00033187
                     91,                0.81298,                0.61153,                 0.5517,                 1.1227,                0.87022,                 0.8058,                0.86491,                0.59883,                0.87022,                 0.8058,                0.86491,                0.57504,                 1.5814,                0.57226,                0.63031,                 1.9144,             0.00032896,             0.00032896,             0.00032896
                     92,                0.76162,                 0.5661,                0.54052,                 1.1039,                0.92459,                0.84391,                 0.8718,                0.59156,                0.88855,                0.80564,                0.84872,                0.54978,                  1.516,                0.63166,                0.68808,                 1.8989,             0.00032605,             0.00032605,             0.00032605
                     93,                0.74146,                0.51071,                0.52591,                 1.1187,                0.93089,                0.84662,                0.88483,                0.59439,                 0.8951,                0.80907,                0.86559,                0.57452,                 1.5724,                0.59824,                0.70192,                 2.0019,             0.00032314,             0.00032314,             0.00032314
                     94,                0.80361,                0.54399,                 0.5504,                 1.1219,                0.92179,                0.81885,                0.88927,                0.59616,                0.84697,                 0.8312,                0.87004,                0.57669,                 1.5756,                0.56582,                0.63326,                 1.9307,             0.00032022,             0.00032022,             0.00032022
                     95,                0.79837,                0.60947,                0.55886,                 1.1317,                 0.9413,                0.82629,                0.88823,                0.59471,                 0.9413,                0.82629,                0.88823,                0.61942,                 1.5561,                0.65579,                0.65766,                  1.907,             0.00031731,             0.00031731,             0.00031731
                     96,                0.76687,                0.54847,                0.53987,                 1.1204,                0.89851,                0.84977,                0.87556,                0.58509,                0.89851,                0.84977,                0.87556,                0.59647,                 1.6428,                0.75729,                0.68081,                 1.9812,              0.0003144,              0.0003144,              0.0003144
